instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
Susquehanna County Career and Technology Center,0,3,,,,,
Susquehanna University,30,1,57580,57580,17,76,
Sussex County Community College,40,2,,,,,
Sutter Beauty College,0,3,,,,,
SW School of Business and Technical Careers,0,3,,,,,
SW School of Business and Technical Careers-Cosmetology,0,3,,,,,
Swarthmore College,30,1,66549,66549,42,12,
Swedish Institute a College of Health Sciences,40,2,,,,,
Sweet Briar College,20,1,53160,53160,26,95,
Sylvain Melloul International Hair Academy,0,3,,,,,
Syracuse City Schools Practical Nursing Program,0,3,,,100,67,
Syracuse University,11,1,63344,63344,22,48,
Tabor College,20,1,41520,41520,46,55,
Tacoma Community College,30,1,,,,,
Taft College,40,2,10924,16670,,,
Taft University System,13,1,,,,,
Talladega College,30,1,22314,22314,,,
Tallahassee Community College,30,1,,,,,
Talmudic College of Florida,20,1,26650,26650,,,
Talmudical Academy-New Jersey,30,1,20000,20000,100,100,
Talmudical Institute of Upstate New York,12,1,13300,13300,,,
Talmudical Seminary of Bobov,30,1,15100,15100,100,97,
Talmudical Seminary Oholei Torah,30,1,20500,20500,100,100,
Talmudical Yeshiva of Philadelphia,30,1,18600,18600,100,75,
Tarleton State University,12,1,20078,29666,39,50,
Tarrant County College District,40,2,,,,,
Taylor Andrews Academy of Hair Design-West Jordan,0,3,,,,,
Taylor Andrews Academy-Orem,0,3,,,,,
Taylor Andrews Academy-St George,0,3,,,,,
Taylor Business Institute,40,2,,,70,100,
Taylor College,40,2,,,,,
Taylor Technical Institute,0,3,,,,,
Taylor University,20,1,43517,43517,36,85,
Taylortown School of Beauty Inc,0,3,,,,,
TDDS Technical Institute,0,3,,,50,59,
Teachers College at Columbia University,12,1,,,,,
Teachers College of San Joaquin,20,1,,,,,
Technical Career Institutes,40,2,,,,,
Technical College of the Lowcountry,40,2,,,,,
Technical Education Center-Osceola,0,2,,,,,
Technical Institute of Cosmetology Arts and Sciences,0,3,,,,,
Technical Learning Centers Inc,0,3,,,,,
Telshe Yeshiva-Chicago,20,1,17500,17500,100,100,
Temple College,40,2,,,,,
Temple University,11,1,33048,44040,30,56,
Tenaj Salon Institute,0,3,,,,,
Tennessee Academy of Cosmetology-Shelby Drive,0,3,,,,,
Tennessee Academy of Cosmetology-Stage Road,0,3,,,,,
Tennessee Board of Regents,11,1,,,,,
Tennessee Career Institute,0,3,,,,,
Tennessee College of Applied Technology Nashville,0,2,,,,,
Tennessee College of Applied Technology-Athens,0,3,,,,,
Tennessee College of Applied Technology-Covington,0,2,,,,,
Tennessee College of Applied Technology-Crossville,0,2,,,,,
Tennessee College of Applied Technology-Crump,0,2,,,,,
Tennessee College of Applied Technology-Dickson,0,2,,,,,
Tennessee College of Applied Technology-Elizabethton,0,2,,,,,
Tennessee College of Applied Technology-Harriman,0,2,,,,,
Tennessee College of Applied Technology-Hartsville,0,2,,,,,
Tennessee College of Applied Technology-Hohenwald,0,2,,,,,
Tennessee College of Applied Technology-Jacksboro,0,2,,,,,
Tennessee College of Applied Technology-Jacksboro -,-3,-3,,,,,
Tennessee College of Applied Technology-Jackson,0,2,,,,,
Tennessee College of Applied Technology-Knoxville,0,2,,,,,
Tennessee College of Applied Technology-Livingston,0,2,,,,,
Tennessee College of Applied Technology-McKenzie,0,2,,,,,
Tennessee College of Applied Technology-McMinnville,0,2,,,,,
Tennessee College of Applied Technology-Memphis,0,2,,,,,
Tennessee College of Applied Technology-Morristown,0,2,,,,,
Tennessee College of Applied Technology-Murfreesboro,0,2,,,,,
Tennessee College of Applied Technology-Newbern,0,2,,,,,
Tennessee College of Applied Technology-Oneida-Huntsville,0,2,,,,,
Tennessee College of Applied Technology-Paris,0,2,,,,,
Tennessee College of Applied Technology-Pulaski,0,2,,,,,
Tennessee College of Applied Technology-Ripley,0,2,,,,,
Tennessee College of Applied Technology-Shelbyville,0,2,,,,,
Tennessee College of Applied Technology-Whiteville,0,2,,,,,
Tennessee School of Beauty of Knoxville Inc,0,3,,,,,
Tennessee State University,12,1,20221,32941,,,
Tennessee Technological University,12,1,25253,41117,40,68,
Tennessee Temple University,12,1,,,,,
Tennessee Wesleyan University,20,1,33240,33240,30,65,
Terra State Community College,40,2,,,,,
Teterboro School of Aeronautics,0,2,,,,,
Texarkana College,40,2,12983,14183,,,
Texas A & M International University,12,1,18056,27986,31,48,
Texas A & M University-Central Texas,20,1,,,,,
Texas A & M University-College Station,11,1,28278,48456,41,67,
Texas A & M University-Commerce,12,1,20833,33073,31,47,
Texas A & M University-Corpus Christi,12,1,21001,30834,30,84,
Texas A & M University-Kingsville,12,1,22140,35446,21,82,
Texas A & M University-System Office,11,1,,,,,
Texas A&M University-San Antonio,20,1,,,,,
Texas A&M University-Texarkana,12,1,19992,31038,14,71,
Texas Barber College,0,3,,,,,
Texas Beauty College,0,3,,,,,
Texas Chiropractic College Foundation Inc,13,1,,,,,
Texas Christian University,11,1,60420,60420,26,43,
Texas College,30,1,21008,21008,,,
Texas College of Cosmetology-Abilene,0,3,,,,,
Texas College of Cosmetology-Lubbock,0,3,,,,,
Texas College of Cosmetology-San Angelo,0,3,,,,,
Texas County Technical College,40,2,,,,,
Texas Health and Science University,14,1,,,,,
Texas Health School,0,3,,,,,
Texas Lutheran University,20,1,41380,41380,42,51,
Texas Southern University,11,1,25054,37294,26,51,
Texas Southmost College,40,2,,,,,
Texas State Technical College,40,2,16195,21610,,,
Texas State University,11,1,21595,33019,38,71,
Texas Tech University,11,1,23129,32921,35,63,
Texas Tech University Health Sciences Center,11,1,,,,,
Texas Tech University System Administration,11,1,,,,,
Texas Wesleyan University,12,1,41530,41530,26,46,
Texas Woman's University,11,1,18872,28664,28,86,
Textures Institute of Cosmetology,0,3,,,,,
Thaddeus Stevens College of Technology,40,2,17860,17860,52,30,
Thanh Le College School of Cosmetology,0,3,,,,,
The  Beauty Institute,0,3,,,,,
The Academy of Hair Design Six,0,2,,,,,
The Academy of Radio and TV Broadcasting,0,3,,,,,
The Ailey School,0,2,31810,31810,48,57,
The Art Institute of Atlanta,30,1,,,,,
The Art Institute of Austin,30,1,34047,34047,,,
The Art Institute of Charleston,30,1,,,,,
The Art Institute of Charlotte,30,1,,,,,
The Art Institute of Cincinnati-AIC College of Design,30,1,,,29,68,
The Art Institute of Colorado,30,1,,,,,
The Art Institute of Fort Lauderdale,30,1,,,,,
The Art Institute of Houston,30,1,,,,,
The Art Institute of Indianapolis,30,1,,,,,
The Art Institute of Las Vegas,30,1,35146,35146,,,
The Art Institute of Michigan,30,1,30561,30561,,,
The Art Institute of New York City,40,2,,,,,
The Art Institute of Ohio-Cincinnati,30,1,,,,,
The Art Institute of Philadelphia,30,1,36222,36222,,,
The Art Institute of Phoenix,30,1,32037,32037,,,
The Art Institute of Pittsburgh,30,1,35217,35217,,,
The Art Institute of Pittsburgh-Online Division,30,1,,,,,
The Art Institute of Portland,30,1,,,,,
The Art Institute of Raleigh-Durham,30,1,33315,33315,,,
The Art Institute of Salt Lake City,30,1,,,,,
The Art Institute of San Antonio,30,1,33687,33687,,,
The Art Institute of Seattle,30,1,36471,36471,,,
The Art Institute of St Louis,30,1,,,,,
The Art Institute of Tennessee-Nashville,30,1,33885,33885,,,
The Art Institute of Tucson,30,1,,,,,
The Art Institute of Virginia Beach,30,1,34569,34569,,,
The Art Institute of Washington,30,1,37623,37623,,,
The Art Institute of Washington-Dulles,30,1,,,,,
The Art Institute of Wisconsin,30,1,,,,,
The Art Institutes International-Minnesota,30,1,,,,,
The Art Institutes International–Kansas City,30,1,,,,,
The Art Institutes of York-PA,30,1,,,,,
The Artisan College of Cosmetology,0,2,,,,,
The Baptist College of Florida,20,1,17888,17888,54,52,
The Barber School,0,3,,,,,
The Beauty Institute,0,3,,,,,
The Beauty Institute Schwarzkopf Professional-Bellingham,0,2,,,,,
The Beauty Institute Schwarzkopf Professional-Boise,0,2,,,,,
The Beauty Institute Schwarzkopf Professional-Coeur D'Alene,0,2,,,,,
The Beauty Institute-Ambler,0,3,,,,,
The Beauty Institute-Schwarzkopf Professional-Bellingham,0,3,,,,,
The Beauty School,0,3,,,,,
The Beauty School,0,3,,,,,
The Boston Conservatory,20,1,,,33,46,
The Center for Cosmetology Education,0,3,,,,,
The Chicago School of Professional Psychology at Chicago,11,1,,,,,
The Chicago School of Professional Psychology at Irvine,11,1,,,,,
The Chicago School of Professional Psychology at Los Angeles,11,1,,,,,
The Chicago School of Professional Psychology at Washington DC,11,1,,,,,
The Chicago School of Professional Psychology at Xavier University of Louisiana,13,1,,,,,
The Christ College of Nursing and Health Sciences,30,1,,,41,54,
The Chrysm Insitute of Esthetics,0,3,,,,,
The Colburn Conservatory of Music,20,1,73100,73100,,,
The Collective School Of Music,0,2,,,,,
The College of Health Care Professions-Austin,40,2,,,,,
The College of Health Care Professions-Dallas,0,3,,,,,
The College of Health Care Professions-Fort Worth,40,2,,,,,
The College of Health Care Professions-San Antonio,40,2,,,,,
The College of Health Care Professions-Southwest Houston,0,3,,,,,
The College of Idaho,20,1,39507,39507,23,90,
The College of New Jersey,20,1,33577,44754,26,49,
The College of New Rochelle,20,1,52768,52768,41,73,
The College of Saint Rose,20,1,46348,46348,14,82,
The College of Saint Scholastica,13,1,47794,47794,20,61,
The College of Westchester,30,1,,,29,92,
The College of Wooster,30,1,59800,59800,18,55,
The Colorlab Academy of Hair,0,3,,,,,
The Commonwealth Medical College,13,1,,,,,
The Community College of Baltimore County,40,2,,,,,
The Creative Center,30,1,,,31,94,
The Creative Circus,0,2,,,,,
The English Center,0,3,,,,,
The Evergreen State College,20,1,20839,37312,34,98,
The Fab School,0,3,,,,,
The General Theological Seminary,12,1,,,,,
The Hair Academy,0,2,,,,,
The Hair Design School-Charlotte,0,3,,,,,
The Hair Design School-E Greensboro,0,3,,,,,
The Hair Design School-N Memphis,0,3,,,,,
The Hair Design School-S Memphis,0,3,,,,,
The Hair Design School-Winston-Salem,0,3,,,,,
The Healthcare Institute,0,3,,,,,
The Illinois Institute of Art-Chicago,30,1,,,,,
The Illinois Institute of Art-Schaumburg,30,1,35110,35110,,,
The Institute of Beauty and Wellness,0,2,,,,,
The International Culinary Center,0,3,,,,,
The John Marshall Law School,13,1,,,,,
The Juilliard School,12,1,60130,60130,66,6,
The King's University,14,1,,,46,90,
The King’s College,30,1,55524,55524,15,40,
The Landing School,40,2,,,,,
The Master's University and Seminary,12,1,46392,46392,43,95,
The Medical Arts School,0,3,,,,,
The New England Conservatory of Music,12,1,62089,62089,23,32,
The New England Institute of Art,30,1,,,,,
The New School,12,1,67459,67459,27,67,
The Ohio Media School-Columbus,0,3,,,,,
The Professional Hair Design Academy,0,2,,,,,
The Recording Conservatory of Austin,0,3,,,,,
The Restaurant School at Walnut Hill College,30,1,38560,38560,59,78,
The Robert B Miller College,30,1,,,,,
The Sage Colleges,11,1,44313,44313,19,54,
The Salon Professional Academy,0,2,,,,,
The Salon Professional Academy-Altoona,0,3,,,,,
The Salon Professional Academy-Appleton,0,2,,,,,
The Salon Professional Academy-Colorado Springs,0,2,,,,,
The Salon Professional Academy-Evansville,0,3,,,,,
The Salon Professional Academy-Fargo,0,2,,,,,
The Salon Professional Academy-Ft Myers,0,3,,,,,
The Salon Professional Academy-Grand Junction,0,2,,,,,
The Salon Professional Academy-Huntsville,0,3,,,,,
The Salon Professional Academy-Iowa City,0,2,,,,,
The Salon Professional Academy-Kenosha,0,2,,,,,
The Salon Professional Academy-Kokomo,0,3,,,,,
The Salon Professional Academy-Lewisville,0,3,,,,,
The Salon Professional Academy-Melbourne,0,3,,,,,
The Salon Professional Academy-Nashville,0,3,,,,,
The Salon Professional Academy-North Little Rock,0,3,,,,,
The Salon Professional Academy-Onalaska,0,2,,,,,
The Salon Professional Academy-San Jose,0,3,,,,,
The Salon Professional Academy-Shorewood,0,3,,,,,
The Salon Professional Academy-South Plainfield,0,3,,,,,
The Salon Professional Academy-St Charles,0,3,,,,,
The Salon Professional Academy-Tonawanda,0,3,,,,,
The Salon Spa Academy,0,3,,,,,
The Salter School-Malden Campus,0,3,,,,,
The Salter School-Tewksbury Campus,0,3,,,,,
The Santa Barbara and Ventura Colleges of Law at Santa Barbara,13,1,,,,,
The Santa Barbara and Ventura Colleges of Law at Ventura,13,1,,,,,
The School of Hairstyling,0,2,,,,,
The Seattle School of Theology & Psychology,20,1,,,,,
The Southern Baptist Theological Seminary,12,1,27516,27516,61,39,
The Spa School,0,2,,,,,
The Temple Annapolis-A Paul Mitchell Partner School,0,3,,,,,
The Temple-A Paul Mitchell Partner School,0,3,,,,,
The Training Domain,0,3,,,,,
The University of Aesthetics & Cosmetology,0,3,,,,,
The University of Alabama,11,1,28836,45316,37,54,
The University of America,11,1,,,,,
The University of Findlay,11,1,44405,44405,30,76,
The University of Montana,11,1,19521,37047,32,91,
The University of Montana-Western,30,1,16875,28479,,,
The University of Tampa,20,1,42716,42716,19,51,
The University of Tennessee-Chattanooga,11,1,22644,38762,35,79,
The University of Tennessee-Health Science Center,11,1,,,,,
The University of Tennessee-Knoxville,11,1,30226,48646,36,76,
The University of Tennessee-Martin,20,1,20446,26206,43,70,
The University of Texas at Arlington,11,1,23744,37048,38,66,
The University of Texas at Austin,11,1,25134,50724,45,39,
The University of Texas at Dallas,11,1,26580,44196,38,61,
The University of Texas at El Paso,11,1,22552,35527,43,100,
The University of Texas at San Antonio,12,1,22372,32969,40,78,
The University of Texas at Tyler,11,1,21676,34156,48,64,
The University of Texas Health Science Center at Houston,11,1,,,,,
The University of Texas Health Science Center at San Antonio,11,1,,,,,
The University of Texas MD Anderson Cancer Center,20,1,,,,,
The University of Texas Medical Branch,11,1,,,,,
The University of Texas of the Permian Basin,20,1,21204,22388,48,84,
The University of Texas Rio Grande Valley,11,1,19750,29542,51,82,
The University of Texas System Office,11,1,,,,,
The University of the Arts,20,1,63030,63030,34,74,
The University of Virginia's College at Wise,30,1,23795,40495,37,77,
The University of West Florida,12,1,19014,31895,45,42,
The Vocational Nursing Institute Inc,0,3,,,,,
The Workforce Institute's City College,40,2,,,,,
The Wright Institute,14,1,,,,,
Theatre of Arts,40,2,,,32,70,
Theological Seminary of the Reformed Episcopal Church,20,1,,,,,
Thiel College,30,1,45540,45540,15,61,
Thomas Aquinas College,30,1,35714,35714,56,75,
Thomas College,20,1,38750,38750,25,92,
Thomas Edison State University,13,1,,,,,
Thomas Jefferson School of Law,13,1,,,,,
Thomas Jefferson University,11,1,,,,,
Thomas More College,20,1,39472,39472,20,88,
Thomas More College of Liberal Arts,30,1,32300,32300,42,97,
Thomas Nelson Community College,40,2,,,,,
Thomas University,20,1,32180,32180,71,43,
Three Rivers College,40,2,18532,19672,,,
Three Rivers Community College,40,2,,,,,
Thunderbird School of Global Management,20,1,,,,,
Thuy Princess Beauty College,0,3,,,,,
Tidewater Community College,40,2,,,,,
Tidewater Tech-Trades,0,3,,,,,
Tiffin Academy of Hair Design,0,2,,,,,
Tiffin University,20,1,36825,36825,19,93,
Tillamook Bay Community College,40,2,,,,,
Tint School of Makeup & Cosmetology-Seattle,0,3,,,,,
Tint School of Makeup and Cosmetology-Dallas,0,3,,,,,
Tint School of Makeup and Cosmetology-Grand Prairie,0,3,,,,,
Tint School of Makeup and Cosmetology-Irving,0,3,,,,,
Toccoa Falls College,30,1,35054,35054,40,45,
Tohono O'Odham Community College,40,2,11242,11242,,,
Toledo Academy of Beauty Culture-East,0,2,,,,,
Toledo Public Schools Adult and Continuing Education,0,2,,,,,
Toledo Restaurant Training Center,0,3,,,,,
Tom P Haney Technical Center,0,2,,,,,
Tomorrow's Image Barber And Beauty Academy of Virginia,0,3,,,,,
Tompkins Cortland Community College,40,2,19072,24162,,,
Toni & Guy Hairdressing Academy-Albuquerque,0,3,,,,,
Toni & Guy Hairdressing Academy-Atlanta,0,3,,,,,
Toni & Guy Hairdressing Academy-Colorado Springs,0,2,,,,,
Toni & Guy Hairdressing Academy-Cranston,0,3,,,,,
Toni & Guy Hairdressing Academy-Jacksonville,0,3,,,,,
Toni & Guy Hairdressing Academy-Manteca,0,3,,,,,
Toni & Guy Hairdressing Academy-Modesto,0,3,,,,,
Toni & Guy Hairdressing Academy-Plano,0,3,,,,,
Toni & Guy Hairdressing Academy-Santa Monica,0,3,,,,,
Toni & Guy Hairdressing Academy-Shoreline,0,3,,,,,
Toni & Guy Hairdressing Academy-Worcester,0,3,,,,,
Tooele Applied Technology College,0,3,,,,,
Top Nails & Hair Beauty School,0,3,,,,,
Top of the Line Barber College,0,3,,,,,
Torah Temimah Talmudical Seminary,30,1,18250,18250,100,100,
Total Cosmetology Training Center,0,3,,,,,
Total Image Beauty Academy,0,3,,,,,
Total Look School of Cosmetology & Massage Therapy,0,2,,,,,
Total Transformation Institute of Cosmetology,0,3,,,,,
Tougaloo College,20,1,21200,21200,17,39,
Touro College,13,1,33894,33894,47,34,
Touro University California,13,1,,,,,
Touro University Nevada,13,1,,,,,
Touro University Worldwide,12,1,,,,,
Towson University,11,1,25336,37004,34,73,
Toyota Technological Institute at Chicago,12,1,,,,,
Tramy Beauty School,0,3,,,,,
Transformed Barber and Cosmetology Academy,0,3,,,,,
Transylvania University,30,1,48790,48790,22,93,
Travel Institute of the Pacific,0,3,,,,,
Traviss Technical College,0,3,,,,,
Traxlers School of Hair,0,3,,,,,
Treasure Valley Community College,40,2,20046,20496,,,
Trend Barber College,0,3,,,,,
Trend Barber College,0,3,,,,,
Trend Setters' Academy of Beauty Culture-Elizabethtown,0,2,,,,,
Trend Setters' Academy of Beauty Culture-Louisville,0,2,,,,,
Trend Setters' Academy of Beauty Culture-Louisville,0,2,,,,,
Trendsetters School of Beauty & Barbering,0,3,,,,,
Trenz Beauty Academy,0,3,,,,,
Trevecca Nazarene University,12,1,38248,38248,40,73,
Tri County Regional Vocational Technical High School,0,3,,,,,
Tri-County Adult Career Center,0,2,,,,,
Tri-County Beauty Academy,0,3,,,,,
Tri-County Community College,40,2,,,,,
Tri-County Technical College,40,2,,,,,
Tri-Rivers Career Center,0,3,,,,,
Tri-State Barber College,0,3,,,,,
Tri-State Bible College,20,1,,,,,
Tri-State College of Acupuncture,20,1,,,,,
Tri-State Cosmetology Institute,0,3,,,,,
Tri-State Institute of Hair Design,0,3,,,,,
Triangle Tech Inc-Bethlehem,40,2,,,,,
Triangle Tech Inc-Dubois,40,2,,,,,
Triangle Tech Inc-Erie,40,2,,,,,
Triangle Tech Inc-Greensburg,40,2,,,,,
Triangle Tech Inc-Pittsburgh,40,2,,,,,
Triangle Tech Inc-Sunbury,40,2,,,,,
Tribeca Flashpoint College,30,1,,,49,89,
Tricoci University of Beauty Culture-Bridgeview,0,3,,,,,
Tricoci University of Beauty Culture-Chicago NE,0,3,,,,,
Tricoci University of Beauty Culture-Chicago NW,0,3,,,,,
Tricoci University of Beauty Culture-Danville,0,3,,,,,
Tricoci University of Beauty Culture-Elgin,0,3,,,,,
Tricoci University of Beauty Culture-Glendale Heights,0,3,,,,,
Tricoci University of Beauty Culture-Highland,0,3,,,,,
Tricoci University of Beauty Culture-Indianapolis,0,3,,,,,
Tricoci University of Beauty Culture-Lafayette,0,3,,,,,
Tricoci University of Beauty Culture-Libertyville,0,3,,,,,
Tricoci University of Beauty Culture-Peoria,0,3,,,,,
Tricoci University of Beauty Culture-Rockford,0,3,,,,,
Tricoci University of Beauty Culture-Urbana,0,3,,,,,
Tricoci University of Beauty Cuture LLC-Bloomington,0,3,,,,,
Trident Technical College,40,2,,,,,
Trident University International,12,1,,,21,96,
Trine University,13,1,48210,48210,19,78,
Trine University-Arizona Regional Campus,20,1,,,50,100,
Trine University-Regional/Non-Traditional Campuses,20,1,,,,,
Trinidad State Junior College,40,2,18165,21090,,,
Trinity Baptist College,20,1,21118,21118,53,86,
Trinity Bible College and Graduate School,20,1,27426,27426,69,42,
Trinity Christian College,20,1,41155,41155,25,88,
Trinity College,20,1,68940,68940,22,33,
Trinity College of Florida,30,1,25990,25990,76,74,
Trinity College of Nursing & Health Sciences,20,1,,,33,60,
Trinity Episcopal School for Ministry,14,1,,,,,
Trinity Health System School of Nursing,0,2,,,100,100,
Trinity International University-Florida,20,1,,,,,
Trinity International University-Illinois,12,1,43360,43360,39,66,
Trinity Law School,13,1,,,,,
Trinity Lutheran College,30,1,,,27,67,
Trinity Lutheran Seminary,13,1,,,,,
Trinity School of Health and Allied Sciences,30,1,,,,,
Trinity University,20,1,54714,54714,23,48,
Trinity Valley Community College,40,2,16311,16911,,,
Trinity Washington University,20,1,36764,36764,25,94,
Triton College,40,2,,,,,
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,-3,-3,,,,,
Trocaire College,30,1,,,29,50,
Troy University,13,1,19106,26330,31,92,
Truckee Meadows Community College,40,2,,,,,
Truett McConnell University,20,1,30830,30830,47,91,
Truman State University,20,1,20814,27298,41,79,
Trumbull Business College,40,2,,,,,
Trumbull Career & Technical Center,0,3,,,,,
Tucson College,0,3,,,,,
Tucson College of Beauty,0,3,,,,,
Tufts University,11,1,68190,68190,44,16,
Tulane University of Louisiana,11,1,67114,67114,21,30,
Tulsa Community College,40,2,,,,,
Tulsa Technology Center,0,2,,,,,
Tulsa Technology Center-Broken Arrow Campus,0,3,,,,,
Tulsa Technology Center-Lemley Campus,0,2,,,,,
Tulsa Technology Center-Owasso Campus,0,3,,,,,
Tulsa Technology Center-Peoria Campus,0,3,,,,,
Tulsa Technology Center-Riverside Campus,0,2,,,,,
Tulsa Technology Center-Sand Springs Campus,0,3,,,,,
Tulsa Welding School-Houston,0,3,,,,,
Tulsa Welding School-Jacksonville,0,3,,,,,
Tulsa Welding School-Jacksonville,0,3,,,,,
Tulsa Welding School-Tulsa,40,2,,,,,
Tulsa Welding School-Tulsa,0,3,,,,,
Tunxis Community College,40,2,,,,,
Turning Point Beauty College,0,3,,,,,
Turtle Mountain Community College,30,1,,,,,
Tusculum College,20,1,36745,36745,20,69,
Tuskegee University,11,1,36673,36673,15,53,
Twin City Beauty College,0,3,,,,,
Tyler Junior College,30,1,17775,18465,,,
U S Grant Joint Vocational School,0,2,,,,,
UEI College-Bakersfield,0,3,,,,,
UEI College-Fresno,0,3,,,,,
UEI College-Gardena,0,3,,,,,
UEI College-Riverside,0,3,,,,,
Uintah Basin Applied Technology College,0,3,,,,,
Ukiah Adult School,0,3,,,,,
Ulster BOCES School of Practical Nursing,0,3,,,78,79,
Ulster County Community College,40,2,,,,,
Ultimate Medical Academy-Clearwater,40,2,,,,,
Ultimate Medical Academy-Tampa,40,2,,,,,
Ultimate Touch Barber College,0,3,,,,,
Ultrasound Medical Institute,40,2,,,,,
Umpqua Community College,40,2,,,,,
Unification Theological Seminary,13,1,,,,,
Unilatina International College,30,1,,,,,
Union College,30,1,66360,66360,25,38,
Union College,20,1,37810,37810,23,69,
Union College,20,1,33958,33958,22,56,
Union County College,40,2,,,,,
Union County Vocational Technical School,0,3,,,,,
Union Graduate College,20,1,,,,,
Union Institute & University,12,1,,,,,
Union Presbyterian Seminary,12,1,,,,,
Union Theological Seminary in the City of New York,12,1,,,,,
Union University,11,1,49840,49840,27,69,
Unitech Training Academy-Alexandria,0,3,,,,,
Unitech Training Academy-Houma,0,3,,,,,
Unitech Training Academy-Lafayette,0,3,,,,,
Unitech Training Academy-Lake Charles,0,3,,,,,
Unitech Training Academy-Metairie,0,3,,,,,
Unitech Training Academy-West Monroe,0,3,,,,,
United Beauty College,0,2,,,,,
United Education Institute-Anaheim,0,3,,,,,
United Education Institute-Chula Vista,0,3,,,,,
United Education Institute-El Monte,0,3,,,,,
United Education Institute-Encino,0,3,,,,,
United Education Institute-Huntington Park Campus,0,3,,,,,
United Education Institute-Morrow,0,3,,,,,
United Education Institute-Ontario,0,3,,,,,
United Education Institute-UEI College San Marcos,0,3,,,,,
United Education Institute-UEI College Stockton,0,3,,,,,
United Healthcare Careers College,0,3,,,,,
United States Air Force Academy,30,1,0,0,80,17,
United States Coast Guard Academy,30,1,,,69,20,
United States Merchant Marine Academy,20,1,8429,8429,71,22,
United States Military Academy,30,1,0,0,83,10,
United States Naval Academy,30,1,0,0,87,9,
United States Sports Academy,14,1,,,,,
United States University,20,1,,,,,
United Talmudical Seminary,20,1,21313,21313,,,
United Technical Center,0,3,,,84,76,
United Theological Seminary,13,1,,,,,
United Theological Seminary of the Twin Cities,14,1,,,,,
United Tribes Technical College,30,1,13981,13981,,,
Unitek College,0,3,,,24,70,
Unitek College,30,1,,,,,
Unitek College,0,3,,,45,42,
Unity College,20,1,39480,39480,26,91,
Unity Cosmetology College,0,3,,,,,
UnityPoint Health-Des Moines School of Radiologic Technology,0,2,,,,,
Universal Career School,40,2,,,,,
Universal College of Beauty Inc-Los Angeles 1,0,3,,,,,
Universal College of Beauty Inc-Los Angeles 2,0,3,,,,,
Universal College of Healing Arts,40,2,,,,,
Universal Spa Training Academy,0,3,,,,,
Universal Technical Institute - Dallas Fort Worth,0,2,,,,,
Universal Technical Institute of Arizona Inc,40,2,,,,,
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,0,2,,,,,
Universal Technical Institute of California Inc,0,2,,,,,
Universal Technical Institute of Illinois Inc,0,2,,,,,
Universal Technical Institute of Massachusetts Inc,0,2,,,,,
Universal Technical Institute of Northern California Inc,0,2,,,,,
Universal Technical Institute of Pennsylvania Inc,0,2,,,,,
Universal Technical Institute of Texas Inc.,0,2,,,,,
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,0,2,,,,,
Universal Technical Institute-Southern California,0,2,,,,,
Universal Therapeutic Massage Institute,0,3,,,,,
Universal Training Institute,0,3,,,,,
University Academy of Hair Design,0,3,,,,,
University at Buffalo,11,1,25489,42729,25,60,
University of Advancing Technology,20,1,31120,31120,16,86,
University of Aesthetics-Chicago,0,3,,,,,
University of Akron Main Campus,11,1,24876,33407,26,97,
University of Akron Wayne College,40,2,,,,,
University of Alabama at Birmingham,11,1,25808,36136,34,60,
University of Alabama in Huntsville,11,1,24711,35481,38,81,
University of Alabama System Office,11,1,,,,,
University of Alaska Anchorage,12,1,25098,37304,50,71,
University of Alaska Fairbanks,12,1,18556,30764,57,73,
University of Alaska Southeast,20,1,21462,35597,65,49,
University of Alaska System of Higher Education,12,1,,,,,
University of Antelope Valley,20,1,,,,,
University of Arizona,11,1,27169,50367,26,76,
University of Arizona-South,20,1,,,,,
University of Arkansas,11,1,24302,38650,39,60,
University of Arkansas at Little Rock,11,1,23158,34596,47,90,
University of Arkansas at Monticello,20,1,18348,24198,,,
University of Arkansas at Pine Bluff,12,1,18118,24208,33,46,
University of Arkansas Community College Rich Mountain,40,2,,,,,
University of Arkansas Community College-Batesville,40,2,,,,,
University of Arkansas Community College-Hope,40,2,,,,,
University of Arkansas Community College-Morrilton,40,2,,,60,66,
University of Arkansas for Medical Sciences,11,1,,,,,
University of Arkansas System Office,11,1,,,,,
University of Arkansas-Fort Smith,20,1,18200,24848,47,56,
University of Baltimore,11,1,,,39,53,
University of Bridgeport,11,1,53618,53618,12,52,
University of California-Berkeley,11,1,36369,63051,41,17,
University of California-Davis,11,1,34967,61649,22,38,
University of California-Hastings College of Law,13,1,,,,,
University of California-Irvine,11,1,32930,59612,21,39,
University of California-Los Angeles,11,1,34056,60738,35,17,
University of California-Merced,12,1,35511,62193,16,61,
University of California-Riverside,11,1,34391,61073,19,56,
University of California-San Diego,11,1,32239,58921,20,34,
University of California-San Francisco,11,1,,,,,
University of California-Santa Barbara,12,1,35172,61854,19,33,
University of California-Santa Cruz,12,1,35408,62090,16,50,
University of California-System Administration Central Office,11,1,,,,,
